Target_genes	NANOG|Average	SRX13365367|293	SRX13365368|293	SRX13441621|293	SRX13441622|293	SRX5286324|ES_cells	SRX5286325|ES_cells	SRX5286327|ES_cells	SRX5286328|ES_cells	SRX702044|hESC_derived_ectodermal_cells	SRX702037|hESC_derived_mesendodermal_cells	SRX702038|hESC_derived_mesendodermal_cells	SRX702042|hESC_derived_mesendodermal_cells	SRX702043|hESC_derived_mesendodermal_cells	SRX011617|hESC_H1	SRX011618|hESC_H1	SRX017277|hESC_H1	SRX100482|hESC_H1	SRX10448024|hESC_H1	SRX13437668|hESC_H1	SRX13437669|hESC_H1	SRX1303985|hESC_H9	SRX2881137|hESC_H9	SRX2881138|hESC_H9	SRX3288566|hESC_H9	SRX3288567|hESC_H9	SRX6101126|hESC_H9	SRX6101127|hESC_H9	SRX266862|hESC_HUES64	SRX266863|hESC_HUES64	SRX702036|hESC_HUES64	SRX702039|hESC_HUES64	SRX702040|hESC_HUES64	SRX702041|hESC_HUES64	SRX20532160|hESC_HUES8	SRX20532161|hESC_HUES8	SRX11783370|hESC_UCLA2	SRX11783372|hESC_UCLA2	SRX5286326|hESC_WIBR2	SRX5286329|hESC_WIBR2	SRX5457195|iPS_cells	SRX5457196|iPS_cells	SRX1424693|LNCAP	SRX1424694|LNCAP	SRX1424695|LNCAP	SRX1424696|LNCAP	SRX1424697|LNCAP	SRX10445282|Neural_crest_cells	SRX10445290|Neural_crest_cells	SRX10445300|Neural_crest_cells	SRX10445309|Neural_crest_cells	SRX11783374|PGCLC	SRX11783376|PGCLC	STRING
GNB4	10.634615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	132	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARMC4	10.634615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	134	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRG1	10.634615	0	0	0	0	0	0	195	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0
ZDHHC18	10.615385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZDHHC11	10.615385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TFAP4	10.615385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	364	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCTEX1D1	10.615385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	128	0	0	0	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPM1J	10.615385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NTN4	10.615385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	90	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EPHX4	10.615385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	109	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMPD3	10.615385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JAG2	10.596154	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXO3	10.596154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DYDC2	10.596154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DYDC1	10.596154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC38A8	10.576923	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	144	0	0	0	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NECAB1	10.576923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAPK6	10.576923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LAPTM4B	10.576923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	242	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BOK	10.576923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF1A	10.557692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RHBG	10.557692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIF21B	10.557692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	0	0	0	0	0	0	0	0	92	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COPG2	10.557692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNR1	10.557692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	132	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BEND5	10.557692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	315	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APOBEC3C	10.557692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADARB1	10.557692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBC1D2B	10.538462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEC61A2	10.538462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10H2	10.538462	0	0	0	0	0	0	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0
KISS1R	10.538462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COL4A5	10.538462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	162	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP12A	10.538462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LZTS2	10.519231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNA3	10.519231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	140	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALK	10.519231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WTIP	10.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NIPAL2	10.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	150	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GJA3	10.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269	162	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCK	10.500000	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CASP4	10.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	171	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARMCX5-GPRASP2	10.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX53	10.480769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMPR1A	10.480769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBX5	10.461538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPR2	10.461538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LPGAT1	10.461538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	112	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LANCL3	10.461538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM268	10.442308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RHOU	10.442308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	128	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTK2	10.442308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	117	0	0	0	82	0	0	0	0	0	0	0	0	0	150	0	0	0	0
MEDAG	10.442308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTSZ	10.442308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMK1D	10.442308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPRY3	10.423077	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OPRK1	10.423077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	138	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DTD1	10.423077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADRA2A	10.423077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	173	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTGFR	10.403846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	112	0	0	0	278	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MGMT	10.403846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IKBKE	10.403846	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOCK11	10.403846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DBX1	10.403846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VAT1	10.384615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM59L	10.384615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	173	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC35D2	10.384615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RUFY4	10.384615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RTN4RL2	10.384615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	168	0	0	0	0	0	0	125	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCALD	10.384615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LTF	10.384615	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GALK1	10.384615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUSP22	10.384615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	120	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf54	10.384615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMPH	10.384615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNNI3	10.365385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRT7	10.365385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3C2	10.365385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0
FAM151A	10.365385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	213	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANK1	10.365385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMOD1	10.346154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0
SLC7A6	10.346154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SH3BP5	10.346154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EFCAB12	10.346154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTSL2	10.346154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM183B	10.326923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RASGRP2	10.326923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	155	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PEAK3	10.326923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYO1A	10.326923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
METTL6	10.326923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EAF1	10.326923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP2E1	10.326923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	171	0	0	0	0	0	0	0
CRHBP	10.326923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	155	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR0B1	10.307692	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	88	0	0	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	426
TTC22	10.307692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	93	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NT5DC2	10.307692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STK32B	10.288462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	170	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMAGP	10.288462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	289	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLEKHG4	10.288462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PABPC4	10.288462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KANK4	10.288462	0	0	0	0	149	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALDH3B2	10.288462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMPRSS2	10.269231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	92	111	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC51A	10.269231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	148	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NUDT12	10.269231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	110	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXC11	10.269231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	69	0	0	0	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRHPR	10.269231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CUBN	10.269231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BRDT	10.269231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BOD1L2	10.269231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIM58	10.250000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	117	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCAPH2	10.250000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
